mu,omega,alpha[1],beta[1]
-0.008641740934588405,0.7105759805644296,0.32454307402419896,0.5629280027141732
-0.0038517424169528334,0.36526819222947526,0.3927876907298065,0.604798893734126
0.003752732457876244,0.3570918393027528,0.3022330068786665,0.69325041360142
0.01163460174913864,0.43514048373613295,0.32255712837540373,0.6507092398930179
-0.0006896416461262059,0.46928884025849815,0.3483844973447343,0.6360354888574675
0.002207470121825199,0.4929461268175914,0.33754361360814344,0.6557335371092607
-0.02131031798992296,0.6192454965817062,0.3575309977562557,0.5602532511999138
-0.005776680928978573,0.6588841916855385,0.3736572538083122,0.5654337272314951
-0.006461236793597203,0.531161197814424,0.3992608993006424,0.5887153483528078
0.00034344993291935896,0.4576144877371852,0.36360359747086285,0.6112079443172209
-0.021933462192288873,0.3381850532688897,0.31210714474768136,0.6866113438347414
-0.0197455117044043,0.5700079419866781,0.396739113808968,0.563041670588485
-0.04894681446017788,0.45678143053364484,0.34322723571440944,0.6036317489431042
-0.004983047595272425,0.6082261122577098,0.32047294978892615,0.5819735469959365
-0.031176763246143317,0.5403816594584103,0.35777992656297464,0.5931859505671161
-0.012431146270286979,0.5079176906688276,0.29250382233949124,0.643803814261983
-0.003714086257534936,0.5550741569520761,0.39417481338892274,0.6017294534238634
-0.022904451645301242,0.5026148617538179,0.30775711611242557,0.6140465051534317
-0.024315910227041417,0.5263817639144678,0.3480229112439289,0.6088200147360605
-0.008034951532679389,0.6658343586563665,0.38035931486328095,0.5886921852676645
-0.024303388306509546,0.35694751528386315,0.38287091229252246,0.6089004953992483
0.02989830651366291,0.549486108319832,0.3251009479951764,0.59444116444768
-0.038473712381424253,0.4875286987744593,0.30989477236424656,0.6584281534097082
0.025621469859770915,0.5749428839708709,0.4468238271079394,0.5143016342693975
-0.03484516029796162,0.42812785205344395,0.4173575990540235,0.5704305429419382
-0.028821736469708287,0.7014811972760754,0.3738588442936323,0.509194881076798
0.004548573384860191,0.5283779609170911,0.3372343624643166,0.5823824327300087
-0.010496802426677134,0.42225246268034905,0.3557799112845667,0.6094797934525973
-0.042266134899371845,0.5287186633476164,0.3505974138537029,0.5970245611548265
-0.03188431595555682,0.7213217223709818,0.37849132097902527,0.5175945046934667
-0.04971463490159779,0.525153590274215,0.3502117262039836,0.5770684017932919
-0.018916540015247785,0.332028942408444,0.31380394425135383,0.661653138435081
-0.008770248732782137,0.43511220577796716,0.33901027391245286,0.6310312510214303
0.012332472886206104,0.5310450984929225,0.3177864505830631,0.6352091147555585
-0.005772659218015075,0.5724375659598728,0.3515296942279672,0.5946767652795785
-0.016995631497958075,0.44423205547712286,0.3559553520382875,0.6348266471862609
0.004532895350933671,0.3928803491924938,0.3062712932627237,0.6505150348303125
0.02069869111398468,0.5845218089675837,0.35532249406121896,0.5997420161986636
-0.014012510196657195,0.5134417429297371,0.3060570916767579,0.6149188996016228
0.013364642158761505,0.49585952996253446,0.38431400064975685,0.605973654942519
-0.006440126173049927,0.739256510003216,0.4110392952876012,0.5090302168255779
0.00030549157130514877,0.6155008445043921,0.45611442160472493,0.5242476202887039
0.011159021756468891,0.4709479319578734,0.40106754113225707,0.5920937758021754
0.006252087424640918,0.4089054238856443,0.3600287958206713,0.6090413085247179
0.017672711063569532,0.4579196062455809,0.2593827852319732,0.6815123237020825
-0.04647188124786075,0.3553392327607528,0.3987792711570786,0.5988160807444164
-0.0008095974427425896,0.6535905376034012,0.3504874487336569,0.5818358343661589
-0.06093233756251664,0.3806359473253848,0.28907447049925583,0.7063652415111508
0.0030841079492643763,0.4615262023561536,0.3828623890482985,0.6069292759696527
0.0037780631780386324,0.41925303296193767,0.3598558649731207,0.6231833031106079
-0.045093217889248804,0.7081371509191345,0.3050034918003279,0.5312826119244518
-0.016230879351910126,0.4887238688576386,0.40152917946450134,0.5888129144559139
-0.02832034166351867,0.3907603538194008,0.29835938595737166,0.6533830835936904
-0.03022333865794901,0.6020640141747251,0.40172234330431605,0.5625794928018918
0.0037202207493810206,0.443675728259263,0.26518056133854045,0.6796475363996578
-0.025080880457923824,0.49773240536109736,0.3202651325772769,0.6525085345200061
0.007701843951181822,0.4709998417579881,0.2876412372716012,0.6612425001832947
-0.0499784325358386,0.355102455696521,0.28945907067434823,0.6585236950707185
-0.013410751960243477,0.5825388817532466,0.3743151124145228,0.6237203304439615
-4.4761204179165695e-05,0.43556015966506667,0.3620345858693071,0.6184314246486988
0.01206800530383234,0.5161549682506983,0.4006854457681647,0.581746191261215
-0.053208384326317214,0.6725676175448623,0.3556995315978317,0.5274157051370478
0.04152384569571319,0.8529522566472902,0.38129650479498906,0.4903781591739867
-0.04348481239626521,0.4738488666381979,0.3829060523120934,0.5978510219989608
0.014909458423856025,0.5563099323951339,0.32611417152518063,0.609477528805086
-0.06075923218761128,0.45783316216524567,0.4089447446382576,0.5734340680535328
-0.005950068540880926,0.6636868296831118,0.3428238600670273,0.5671119067936887
-0.01010954096424363,0.4335295653501685,0.3390171028455088,0.6201656778877398
-0.03920383998417897,0.5242301325095728,0.3116702940600202,0.6189596575110772
-0.012585686012778624,0.39932326846928284,0.36107201433701863,0.6210207625304791
-0.01269313232617934,0.36589974493391664,0.29182481631429863,0.664521353275239
-0.017799047095207566,0.7738608813953194,0.3310212839566902,0.5206492577021313
-0.009547784091682058,0.4543323598431296,0.37863510287619984,0.5652064367449235
0.010769165330028608,0.325909759052198,0.3098048321138753,0.6817470131256967
0.005245814799285953,0.48642416606107947,0.3927804922808452,0.5996073208310957
-0.029956854068970466,0.6441938564607825,0.41074090004800645,0.5368952847611013
-0.02875329956205063,0.598970923709023,0.3846524087030714,0.5312010537897143
-0.007573209938705206,0.4604021032558182,0.3551385053180134,0.6096536534242388
0.02455133228708105,0.6044119035416324,0.289227949238017,0.6901210594315432
-0.02044052394983579,0.4888264810726859,0.27046203780030864,0.6730014192687678
-0.0004594171885680728,0.44648138131157245,0.3117550484332953,0.673892667388585
