date,close,log_return,simple_return,forecast_log_return,forecast_volatility,split,forecast_return_p05,forecast_return_p50,forecast_return_p95,ito_drift_annual,previous_close,forecast_close,forecast_close_p05,forecast_close_p95,direction_actual,direction_forecast,macd_fast_ema,macd_slow_ema,macd_line,macd_signal_line,macd_histogram,signal,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity,point_change,strategy_points,benchmark_points,strategy_cumulative_points,benchmark_cumulative_points,entry,exit,signal_name
2015-01-06,10.26,0.0039062549670649815,0.003913894324853118,0.0004942632775858438,0.011481111809496305,train,,,,,10.22,10.225052619256145,,,1,1,,,,,,0,0.0,0.0,0.003913894324853118,1.0,1.0039138943248531,0.03999999999999915,0.0,0.03999999999999915,0.0,0.03999999999999915,0,0,macd_6_26_12
2015-01-07,10.24,-0.0019512201312616995,-0.0019493177387913674,0.0005475756477339554,0.011434066082984256,train,,,,,10.26,10.265619664601077,,,0,1,,,,,,0,0.0,-0.0,-0.0019493177387913674,1.0,1.0019569471624266,-0.019999999999999574,-0.0,-0.019999999999999574,0.0,0.019999999999999574,0,0,macd_6_26_12
2015-01-08,10.31,0.006812678417507101,0.0068359375,0.0005091326357494068,0.011201459740399222,train,,,,,10.24,10.24521484560147,,,1,1,,,,,,0,0.0,0.0,0.0068359375,1.0,1.0088062622309197,0.07000000000000028,0.0,0.07000000000000028,0.0,0.08999999999999986,0,0,macd_6_26_12
2015-01-09,10.26,-0.0048614582862454014,-0.004849660523763455,0.000604640905169978,0.01174346308331541,train,,,,,10.31,10.316235732731867,,,0,1,,,,,,0,0.0,-0.0,-0.004849660523763455,1.0,1.0039138943248531,-0.05000000000000071,-0.0,-0.05000000000000071,0.0,0.03999999999999915,0,0,macd_6_26_12
2015-01-12,10.16,-0.009794397592287396,-0.009746588693957059,0.0005230573351488528,0.011698702755772035,train,,,,,10.26,10.265367972014811,,,0,1,,,,,,0,0.0,-0.0,-0.009746588693957059,1.0,0.9941291585127201,-0.09999999999999964,-0.0,-0.09999999999999964,0.0,-0.0600000000000005,0,0,macd_6_26_12
2015-01-13,10.11,-0.004933409117956256,-0.004921259842519787,0.00037133005680420214,0.012700502096702078,train,,,,,10.16,10.163773413924776,,,0,1,10.200453382519187,,,,,0,0.0,-0.0,-0.004921259842519787,1.0,0.9892367906066535,-0.05000000000000071,-0.0,-0.05000000000000071,0.0,-0.11000000000000121,0,0,macd_6_26_12
2015-01-14,10.11,0.0,0.0,0.0002944497789091231,0.012337980651759404,train,,,,,10.11,10.11297732557969,,,0,1,10.174609558942276,,,,,0,0.0,0.0,0.0,1.0,0.9892367906066535,0.0,0.0,0.0,0.0,-0.11000000000000121,0,0,macd_6_26_12
2015-01-15,10.18,0.006899978089996761,0.006923837784371889,0.0002902433534961356,0.011755469991926022,train,,,,,10.11,10.112934786184335,,,1,1,10.17614968495877,,,,,0,0.0,0.0,0.006923837784371889,1.0,0.9960861056751467,0.07000000000000028,0.0,0.07000000000000028,0.0,-0.040000000000000924,0,0,macd_6_26_12
2015-01-16,10.16,-0.0019665689720405055,-0.0019646365422396617,0.00038333820893980637,0.012106275485536324,train,,,,,10.18,10.18390313102884,,,0,1,10.171535489256264,,,,,0,0.0,-0.0,-0.0019646365422396617,1.0,0.9941291585127201,-0.019999999999999574,-0.0,-0.019999999999999574,0.0,-0.0600000000000005,0,0,macd_6_26_12
2015-01-19,10.16,0.0,0.0,0.0003507006092039687,0.011649992563758498,train,,,,,10.16,10.163563743056418,,,0,1,10.168239635183046,,,,,0,0.0,0.0,0.0,1.0,0.9941291585127201,0.0,0.0,0.0,0.0,-0.0600000000000005,0,0,macd_6_26_12
