portfolio,metric,metric_label,value
Test - Ito,cagr,CAGR,0.5223128479393475
"Test - MACD(6,26,12)",cagr,CAGR,0.5829304385563865
Test - Buy & Hold,cagr,CAGR,0.836347514715128
Full Data - Ito,annual_return_arithmetic,Annualized mean return,0.1963400975032359
"Full Data - MACD(6,26,12)",annual_return_arithmetic,Annualized mean return,0.24873174084242422
Full Data - Buy & Hold,annual_return_arithmetic,Annualized mean return,0.32229974513771514
Test - Ito,annual_return_arithmetic,Annualized mean return,0.46547012765405044
"Test - MACD(6,26,12)",annual_return_arithmetic,Annualized mean return,0.5060992783124386
Test - Buy & Hold,annual_return_arithmetic,Annualized mean return,0.6888998876305948
Full Data - Ito,annual_volatility,Annual volatility,0.19443820521492047
"Full Data - MACD(6,26,12)",annual_volatility,Annual volatility,0.2365222731732266
Full Data - Buy & Hold,annual_volatility,Annual volatility,0.3251050111271412
Test - Ito,annual_volatility,Annual volatility,0.30073938354560825
"Test - MACD(6,26,12)",annual_volatility,Annual volatility,0.306447514754303
Test - Buy & Hold,annual_volatility,Annual volatility,0.40256226028403425
Full Data - Ito,downside_volatility,Downside volatility,0.3103034618040795
"Full Data - MACD(6,26,12)",downside_volatility,Downside volatility,0.2155975830017072
Full Data - Buy & Hold,downside_volatility,Downside volatility,0.23252796933696646
Test - Ito,downside_volatility,Downside volatility,0.35590102827290043
"Test - MACD(6,26,12)",downside_volatility,Downside volatility,0.26322018041497897
Test - Buy & Hold,downside_volatility,Downside volatility,0.2786520156823575
Full Data - Ito,sharpe,Sharpe ratio,1.00978147420263
"Full Data - MACD(6,26,12)",sharpe,Sharpe ratio,1.051620794546717
Full Data - Buy & Hold,sharpe,Sharpe ratio,0.991371200401679
Test - Ito,sharpe,Sharpe ratio,1.5477524831178628
"Test - MACD(6,26,12)",sharpe,Sharpe ratio,1.6515039409544838
Test - Buy & Hold,sharpe,Sharpe ratio,1.7112878071196505
Full Data - Ito,sortino,Sortino ratio,0.6327357624749989
"Full Data - MACD(6,26,12)",sortino,Sortino ratio,1.1536852008236784
Full Data - Buy & Hold,sortino,Sortino ratio,1.386068721353071
Test - Ito,sortino,Sortino ratio,1.3078639584517688
"Test - MACD(6,26,12)",sortino,Sortino ratio,1.9227221769795517
Test - Buy & Hold,sortino,Sortino ratio,2.472258763115819
Full Data - Ito,calmar,Calmar ratio,0.5864700101881911
"Full Data - MACD(6,26,12)",calmar,Calmar ratio,0.7018565966662345
Full Data - Buy & Hold,calmar,Calmar ratio,0.44956338304388654
Test - Ito,calmar,Calmar ratio,1.5771560344418156
"Test - MACD(6,26,12)",calmar,Calmar ratio,2.1509713562002477
Test - Buy & Hold,calmar,Calmar ratio,1.7710888546908576
Full Data - Ito,max_drawdown,Max drawdown,-0.3311738575848667
"Full Data - MACD(6,26,12)",max_drawdown,Max drawdown,-0.35226808997958914
Full Data - Buy & Hold,max_drawdown,Max drawdown,-0.6882812500000002
Test - Ito,max_drawdown,Max drawdown,-0.33117385758486706
"Test - MACD(6,26,12)",max_drawdown,Max drawdown,-0.27100799686433286
Test - Buy & Hold,max_drawdown,Max drawdown,-0.47222222222222265
Full Data - Ito,avg_drawdown,Average drawdown,-0.1930257531491486
"Full Data - MACD(6,26,12)",avg_drawdown,Average drawdown,-0.15327793422424585
Full Data - Buy & Hold,avg_drawdown,Average drawdown,-0.2527188291446776
Test - Ito,avg_drawdown,Average drawdown,-0.10389197122320007
"Test - MACD(6,26,12)",avg_drawdown,Average drawdown,-0.14354009327733858
Test - Buy & Hold,avg_drawdown,Average drawdown,-0.2603301832125687
Full Data - Ito,ulcer_index,Ulcer index,0.19638876198217475
"Full Data - MACD(6,26,12)",ulcer_index,Ulcer index,0.1742594247486227
Full Data - Buy & Hold,ulcer_index,Ulcer index,0.33268278309925026
Test - Ito,ulcer_index,Ulcer index,0.07207154221006853
"Test - MACD(6,26,12)",ulcer_index,Ulcer index,0.1553388106458083
Test - Buy & Hold,ulcer_index,Ulcer index,0.2968662629682291
Full Data - Ito,max_drawdown_duration_days,Max drawdown duration days,1812.0
"Full Data - MACD(6,26,12)",max_drawdown_duration_days,Max drawdown duration days,979.0
Full Data - Buy & Hold,max_drawdown_duration_days,Max drawdown duration days,1085.0
Test - Ito,max_drawdown_duration_days,Max drawdown duration days,70.0
"Test - MACD(6,26,12)",max_drawdown_duration_days,Max drawdown duration days,397.0
Test - Buy & Hold,max_drawdown_duration_days,Max drawdown duration days,426.0
Full Data - Ito,avg_drawdown_duration_days,Average drawdown duration days,65.4054054054054
"Full Data - MACD(6,26,12)",avg_drawdown_duration_days,Average drawdown duration days,59.04347826086956
Full Data - Buy & Hold,avg_drawdown_duration_days,Average drawdown duration days,39.17391304347826
Test - Ito,avg_drawdown_duration_days,Average drawdown duration days,10.08
