strategy,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days,turnover,annual_turnover,exposure_ratio
Buy & Hold,1.0,1.0,13.296083390875115,205.262285,2374.0,1.0,0.10614995787700084,1.0
MACD only,105.0,0.3904761904761905,0.026505142251339014,1.6295517619047621,12.647619047619047,210.0,22.291491154170178,0.5151642796967144
Ito-Bayes-GARCH only,46.0,0.43478260869565216,0.07416373340148741,2.9892094565217384,14.630434782608695,91.0,9.659646166807077,0.2645324347093513
MACD + Ito hard gate,47.0,0.44680851063829785,0.039860681828305676,2.5200669148936177,7.9361702127659575,94.0,9.978096040438079,0.13732097725358045
MACD + volatility targeting,105.0,0.3904761904761905,0.007004678957547127,0.4110980811208379,12.647619047619047,147.16841713574374,15.621921279784086,0.22026814627560326
MACD + tail-risk gate,64.0,0.484375,0.0025634320609855595,0.06006632812499997,2.96875,128.0,13.587194608256107,0.05307497893850042
MACD + full defensive exposure,64.0,0.484375,0.0015365808726754589,0.03496120391867916,2.96875,79.51831222745433,8.440865493394478,0.033482852046186215
