date,open,high,low,close,volume,log_close,log_return,simple_return,year,macd_fast_ema,macd_slow_ema,macd_line,macd_signal_line,macd_histogram,macd_raw_signal,macd_signal_executable,macd_slope_executable,realized_volatility,price_drawdown_recent_high,trend_strength,forecast_log_return,forecast_volatility,forecast_return_p05,forecast_return_p50,forecast_return_p95,ito_drift_annual,forecast_fit_start,forecast_fit_end,forecast_year,previous_close,split,volatility_scale,tail_risk_gate,posterior_uncertainty_proxy,uncertainty_penalty,forecast_volatility_p75,high_forecast_volatility,regime,base_defensive_position,profit_protection_cap,equity_protection_cap,open_trade_return_before,equity_drawdown_before,full_defensive_position,strategy,position,signal,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity,point_change,strategy_points,benchmark_points,strategy_cumulative_points,benchmark_cumulative_points,entry,exit
2017-01-03,15.43,15.43,15.28,15.28,321500.0,2.7265447837383743,-0.009768882636695064,-0.009721322099805585,2017,15.374603644453078,15.455707923143304,-0.0811042786902263,-0.06323651180816142,-0.017867766882064873,0.0,1.0,0.010203123665860403,0.1461866003502067,-0.04517326732673266,-0.04517326732673266,0.00031350212346431365,0.013546490573651654,-0.020471011840206006,0.0012026500704959415,0.02180790214386957,0.10217626849894543,2015-01-06,2016-12-30,2017,15.43,train,0.5580256686471695,0.0,0.0,1.0,,0.0,panic,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.5580256686471695,0.5580256686471695,0.5580256686471695,-0.005703760099202102,-0.009721322099805585,0.9942962399007979,0.9902786779001944,-0.15000000000000036,-0.08800901833068854,-0.15000000000000036,-0.08800901833068854,-0.15000000000000036,1,0
2017-01-04,15.28,15.44,15.28,15.44,314110.0,2.73696154459663,0.010416760858255714,0.010471204188481575,2017,15.393288317466483,15.454544373280838,-0.06125605581435423,-0.06293182627065262,0.001675770456298395,1.0,0.0,-0.02378482392976622,0.15004835281269094,-0.054455445544554504,-0.05034182722187697,0.00017757028222654004,0.013792230632720894,-0.01985113800136381,0.0014046105275615475,0.0217065997478558,0.06880454135797195,2015-01-06,2016-12-30,2017,15.28,train,0.5480831680881824,1.0,0.0,1.0,,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.0,0.0,0.5580256686471695,-0.00027901283432358475,0.010471204188481575,0.9940188184887458,1.0006480881399868,0.16000000000000014,-0.004263316108464375,0.16000000000000014,-0.09227233443915292,0.009999999999999787,0,1
2017-01-05,15.39,15.57,15.39,15.54,359450.0,2.7434173449395014,0.0064558003428714095,0.006476683937823857,2017,15.435205941047489,15.46087441970448,-0.025668478656990956,-0.05719900356085852,0.03153052490386756,1.0,1.0,0.019848222875872068,0.15465135872067717,-0.044554455445544594,-0.015306122448979553,0.0002924564098802024,0.014166199803797831,-0.02616168055790574,-0.00020285133406882397,0.024637069956963978,0.09913847242598038,2015-01-06,2016-12-30,2017,15.44,train,0.5336144883512066,0.0,0.08994295678569242,0.917479207305546,,0.0,panic,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.5336144883512066,0.5336144883512066,0.5336144883512066,0.0031892451415187523,0.006476683937823857,0.9971889881761893,1.0071289695398573,0.09999999999999964,0.049241944985049156,0.09999999999999964,-0.043030389454103764,0.10999999999999943,1,0
2017-01-06,15.57,15.98,15.55,15.83,850050.0,2.761906873892921,0.018489528953419487,0.01866151866151866,2017,15.548004243605348,15.488217055281925,0.05978718832342267,-0.039201127886353715,0.09898831620977638,1.0,1.0,0.03558757715736327,0.15453782331401408,-0.0383663366336634,-0.011450381679389388,0.0003317838972138378,0.013505468542821891,-0.022710552815275044,-3.3558804840770086e-05,0.02342142307527917,0.10676593769827325,2015-01-06,2016-12-30,2017,15.54,train,0.5597206373267427,0.0,0.038237001990856445,0.9631712201380459,,0.0,panic,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.5597206373267427,0.5597206373267427,0.026106148975536092,0.01043218404422236,0.01866151866151866,1.007591847227715,1.0259235255994814,0.2900000000000009,0.16211614004721597,0.2900000000000009,0.11908575059311222,0.40000000000000036,0,0
2017-01-09,15.9,15.98,15.87,15.87,459010.0,2.7644305345383176,0.0025236606453966637,0.0025268477574225123,2017,15.640003031146676,15.51649727340919,0.12350575773748673,-0.014169299328839799,0.13767505706632654,1.0,1.0,0.08545566698041362,0.16532274635736452,-0.020420792079207883,0.023932729624838167,0.00040720766434176116,0.01648803048747213,-0.026133809097620534,0.0003930717038714361,0.030339495593014885,0.1374041858641802,2015-01-06,2016-12-30,2017,15.83,train,0.45847134173655324,0.0,0.04106662204942557,0.9605533198551861,0.014166199803797831,1.0,panic,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.45847134173655324,0.45847134173655324,0.10124929559018947,0.0011078626339144052,0.0025268477574225123,1.0087081205854955,1.0285158781594295,0.03999999999999915,0.017537465494865387,0.03999999999999915,0.13662321608797762,0.4399999999999995,0,0
2017-01-10,15.87,15.9,15.74,15.76,432520.0,2.757475084429733,-0.006955450108584671,-0.006931316950220534,2017,15.674287879390484,15.534534512415917,0.13975336697456697,0.00951111087168432,0.13024225610288265,1.0,1.0,0.06371856941406406,0.16530965209038795,-0.017945544554455517,0.02652005174644234,8.2946009529792e-05,0.014328388584870252,-0.02376562181879701,4.123476754908277e-05,0.023422875436474085,0.04701624032536644,2015-01-06,2016-12-30,2017,15.87,train,0.5275742917920728,0.0,0.0010203310246703623,0.9989807089895707,0.014287841389602146,1.0,panic,0.0,1.0,1.0,0.0,0.0,0.0,MACD + volatility targeting,0.5275742917920728,0.5275742917920728,0.06910295005551959,-0.003691336106226748,-0.006931316950220534,1.004984639879334,1.0213869086195722,-0.10999999999999943,-0.058581504005818255,-0.10999999999999943,0.07804171208215936,0.33000000000000007,0,0
2017-01-11,15.76,15.96,15.65,15.79,415040.0,2.7593768282675506,0.0019017438378177154,0.0019035532994924331,2017,15.707348485278917,15.553457881866589,0.15389060341232863,0.03172334049332191,0.12216726291900673,1.0,1.0,0.01624760923708024,0.16777027326927213,-0.024752475247524774,0.016774193548387162,0.00019991703246818973,0.013594871173772645,-0.019533668452787863,-0.0001618883608295235,0.022789429667252795,0.07391050327370008,2015-01-06,2016-12-30,2017,15.76,train,0.5560398008601948,1.0,0.0,1.0,0.014247294194334043,0.0,sideways,0.5560398008601948,1.0,1.0,0.0,0.0,0.5560398008601948,MACD + volatility targeting,0.5560398008601948,0.5560398008601948,0.028465509068121952,0.0010442186430424782,0.0019035532994924331,1.0060340635762672,1.0233311730395334,0.02999999999999936,0.016456885814348687,0.02999999999999936,0.09449859789650805,0.35999999999999943,0,0
2017-01-12,15.87,15.9,15.74,15.79,518850.0,2.7593768282675506,0.0,0.0,2017,15.730963203770655,15.57097952024684,0.15998368352381398,0.05145570095955146,0.10852798256426252,1.0,1.0,0.014137236437761658,0.16774810403878948,-0.022896039603960472,0.0,0.00010602387354087977,0.012687377032556985,-0.020567699089651642,-0.00010219955439411028,0.019519181229584927,0.04726644788694347,2015-01-06,2016-12-30,2017,15.79,train,0.5958118404447749,0.0,0.0,1.0,0.014206746999065937,0.0,panic,0.0,1.0,1.0,0.0019035532994924331,0.0,0.0,MACD + volatility targeting,0.5958118404447749,0.5958118404447749,0.03977203958458009,-1.9886019792290046e-05,0.0,1.0060140575629672,1.0233311730395334,0.0,-0.0003140002525202598,0.0,0.09418459764398779,0.35999999999999943,0,0
2017-01-13,15.81,15.96,15.78,15.9,506040.0,2.766319109226186,0.006942280958635472,0.006966434452184922,2017,15.779259431264753,15.595351407635963,0.18390802362879022,0.07183298137020358,0.11207504225858664,1.0,1.0,0.0060930801114853494,0.16774810403878948,-0.022896039603960472,0.0,0.0001320622535906181,0.012102721794098503,-0.02059906681872902,-0.0002833001640917221,0.01952150986227291,0.052029689697956405,2015-01-06,2016-12-30,2017,15.79,train,0.6245941688811342,0.0,0.007600138698188985,0.9924571877213035,0.014166199803797831,0.0,panic,0.0,1.0,1.0,0.0,-0.00027801990042997105,0.0,MACD + volatility targeting,0.6245941688811342,0.6245941688811342,0.028782328436359306,0.004336803172509161,0.006966434452184922,1.0103769425193951,1.0304601425793907,0.11000000000000121,0.06847812209392046,0.11000000000000121,0.16266271973790825,0.47000000000000064,0,0
2017-01-16,15.9,15.9,15.74,15.74,249960.0,2.756205242989257,-0.010113866236928892,-0.010062893081761004,2017,15.768042450903394,15.606066118181447,0.161976332721947,0.0857011892704718,0.07627514345147521,1.0,1.0,0.02392434010497624,0.1657949460342038,-0.016089108910891103,0.006966434452184922,0.00035897464360311966,0.01247824064517886,-0.02107565769000128,-0.0011059086588434768,0.02140400223031983,0.1103874974845255,2015-01-06,2016-12-30,2017,15.9,train,0.6057976981799257,0.0,0.03474128307090685,0.9664251502870345,0.014072707511028596,0.0,panic,0.0,1.0,1.0,0.0,-0.00027801990042997105,0.0,MACD + volatility targeting,0.6057976981799257,0.6057976981799257,0.01879647070120849,-0.0061054757013121195,-0.010062893081761004,1.004208110647677,1.020090732339598,-0.16000000000000014,-0.0970770636508628,-0.16000000000000014,0.06558565608704545,0.3100000000000005,0,0
