regime,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
panic,2116,0.010598565399933868,0.0012563576348778582,0.005119142427926862,0.24781309182970032,0.48645207202143154,0.1283840207767714,-0.009785934630154314,1370.0,526.75,0.0,-8.989772715350571e-06,-0.001262259996557491,-0.0027486869606579978,0.0033081285444234404,0.004230223384412505,-0.00032688673545990264,1.5618382338112708,38.03827592032607,4.530078228696677,0.0024366308932052784,0.003780718336483932,1.0830406905923446,4.349680302211031,0.3025296899106815,5.0,1.0,0.005289108474964044,0.16443085450738532,2.6
recovery,10,-0.0033094716052551876,-0.08014294174902448,0.05283018862859118,-1.557219499934465,-1.8226149277066206,-13.631757742473901,-0.005879134830816035,3.0,2.5,-0.00507681125106594,-0.005879134830816059,-0.005879134830816035,-0.0033094716052551876,0.1,0.007021792776017498,-0.0034288012946203593,0.6826285313407134,1.252713529793278,31.56838095079061,0.2461358738501044,0.4,-0.5629181334485276,-0.01344571010104216,-0.17581639559029785,1.0,0.0,-0.0033094716052551876,-0.17581639559029785,5.0
sideways,228,0.07025540722939816,0.0779320148278626,0.08452687870379931,0.9296028339703195,1.2951321446540534,1.2731762368908104,-0.06121070482604851,173.0,67.0,-0.006214637218733979,-0.009829921964916506,-0.016927096314522938,-0.0267304391482327,0.18421052631578946,0.006433339874000508,-0.002765379414724748,1.357058482891938,36.206863479149014,40.018112266427856,0.29759018311814334,0.4692982456140351,1.147763408852313,0.23608106454743755,1.285932684356928,27.0,0.4074074074074074,0.0026249120901299917,0.04762713645766401,4.962962962962963
trend_up,20,0.020054172747368648,0.2842594887910159,0.05612300856953547,4.4865476603178225,3.342126833891921,39.09433634664735,-0.0072711168766366185,10.0,10.0,-0.0006161875723062411,-0.0069924860004981,-0.006992486000498066,-0.006992486000498066,0.25,0.0054514182089385336,-0.0036365394593444902,3.74766881391216,4.020459298185967,50.65778715714319,0.20102296490929836,0.35,2.758059468388721,0.09976060574182208,0.824871072118154,2.0,0.5,0.01008039915529857,0.412435536059077,4.0
