strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
Buy & Hold,13.296083390875115,0.32625258567965476,0.3395431279713425,1.0009360611590883,1.3870766640495567,0.4740105671622673,-0.688281250000001,1085.0,41.44444444444444,-0.02943268770923006,-0.04930869064418998,-0.24573268921095026,-0.43427970557308093,0.45534962089300757,0.016278192631130447,-0.014238397819884415,1.2224176135063767,1.0,0.10614995787700084,1.0,1.0,19.317805607627836,13.296083390875115,205.262285,1.0,1.0,13.296083390875115,205.262285,2374.0
MACD only,8.243682848141942,0.2662644370836569,0.24780692180095837,1.075798231561719,1.1850300600483272,0.7558573843548666,-0.3522680899795889,979.0,58.282051282051285,-0.01930440874914567,-0.034868749948411486,-0.15391162790697688,-0.12910960914189296,0.2363100252737995,0.01727999335751219,-0.011329064466045596,1.34965611426456,210.0,22.291491154170178,0.5151642796967144,0.5151642796967144,23.401730337310987,16.00204667333522,171.102935,105.0,0.3904761904761905,0.026505142251339014,1.6295517619047621,12.647619047619047
Ito-Bayes-GARCH only,7.002649846444459,0.2470338186912835,0.22128676467523148,1.1080357703992354,0.826163797161457,0.6219580367288217,-0.3971872764769693,1759.0,62.5,-0.012500917860616849,-0.03271633150106438,-0.24243227230874476,-0.17289965416391462,0.13352990732940184,0.02197627937212588,-0.01583877786443828,1.4960442222833383,91.0,9.659646166807077,0.2645324347093513,0.2645324347093513,17.630599621814685,26.47180053417062,137.50363499999997,46.0,0.43478260869565216,0.07416373340148741,2.9892094565217384,14.630434782608695
MACD + Ito hard gate,4.019573902179919,0.18679513373847345,0.16381333755575384,1.1267609658897086,0.6731570478955353,0.6214067843116453,-0.30060040935245524,1782.0,88.11538461538461,-0.0009757473001077095,-0.019040702294833185,-0.15391162790697688,-0.03730945233524141,0.07497893850042123,0.022659098215903315,-0.01318662678408151,1.75784128913442,94.0,9.978096040438079,0.13732097725358045,0.13732097725358045,13.371817792393461,29.271375594402233,118.44314500000002,47.0,0.44680851063829785,0.039860681828305676,2.5200669148936177,7.9361702127659575
MACD + volatility targeting,0.9674357590344396,0.07447801092714856,0.08664471137225042,0.8723596740693002,0.9921943727554254,0.3853502998388191,-0.19327352530489939,1773.0,58.41025641025641,-0.006872807865817043,-0.01218931628017173,-0.04615090704973779,-0.08725333068333352,0.2363100252737995,0.006008764316637792,-0.0034665642418107226,1.2678077852428167,147.16841713574374,15.621921279784086,0.22026814627560326,0.5151642796967144,5.005526532970605,4.3920819936622495,43.16529851768799,105.0,0.3904761904761905,0.007004678957547127,0.4110980811208379,12.647619047619047
MACD + tail-risk gate,0.16757690058440877,0.016581851919831303,0.045001984240732616,0.3875755773896205,0.20986446519034693,0.24079851444461306,-0.06886193612147617,1163.0,261.77777777777777,-0.0005,-0.00317469692854412,-0.027968895940872707,-0.03531387201819691,0.02316764953664701,0.009914095220806437,-0.00317469692854412,1.4313052274946108,128.0,13.587194608256107,0.05307497893850042,0.05307497893850042,2.433520026053204,3.1573616030744955,3.844244999999998,64.0,0.484375,0.0025634320609855595,0.06006632812499997,2.96875
MACD + full defensive exposure,0.09963783981313812,0.01013321416931201,0.027327433252396196,0.38247286032695504,0.21265242978025184,0.2282656141736731,-0.04439220600962823,1163.0,261.77777777777777,-0.0002484272529391134,-0.001976938364815903,-0.017229843273771306,-0.023020413678786933,0.02316764953664701,0.006074376767629438,-0.0017453794912548615,1.4178842497664783,79.51831222745433,8.440865493394478,0.033482852046186215,0.05307497893850042,2.2444894896984318,2.975787118603211,2.2375170507954656,64.0,0.484375,0.0015365808726754589,0.03496120391867916,2.96875
