year,strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
2017,Buy & Hold,0.8389932372766042,0.8479779001773209,0.25007919642748244,2.581682183888361,4.4922058095960855,6.10400969494729,-0.13892145369284892,132.0,15.071428571428571,-0.021093368461143857,-0.02923225536098207,-0.07138535995160322,0.8389932372766042,0.48,0.01374212517704722,-0.0103974641572337,1.6350686063687143,1.0,1.008,1.0,1.0,6.039335286050149,0.8389932372766042,12.952285000000002,1.0,1.0,0.8389932372766042,12.952285000000002,250.0
2018,Buy & Hold,0.49207467418105066,0.49685896710739064,0.34014157481784013,1.3567202262405027,1.625889350075193,2.100628141652833,-0.23652875882946522,103.0,22.1,-0.031811648310281174,-0.05308177198480218,-0.07929991356957633,0.49207467418105066,0.504,0.01524821626131069,-0.015736137742958345,1.3128299956322456,0.0,0.0,1.0,1.0,2.0804010329070866,0.49207467418105066,13.969999999999999,1.0,1.0,0.49207467418105066,13.969999999999999,250.0
2019,Buy & Hold,0.20656279508970377,0.20837666207349415,0.19163091535423102,1.0829776078901787,1.606732887022243,2.05743330629709,-0.10127991096271527,92.0,18.166666666666668,-0.015706672823380903,-0.02465374256180022,-0.029877937693569057,0.20656279508970377,0.42,0.0100845806207461,-0.008123771944365426,1.2413667800879948,0.0,0.0,1.0,1.0,2.039523861407687,0.20656279508970377,8.75,1.0,1.0,0.20656279508970377,8.75,250.0
2020,Buy & Hold,-0.05908824104871879,-0.05908824104871879,0.32399456443964875,-0.026559659238534702,-0.03281950604511542,-0.15553530322274456,-0.37990243902439047,250.0,250.0,-0.031246936274509717,-0.05173457426619657,-0.20875133404482393,-0.05908824104871879,0.42063492063492064,0.014568358549917962,-0.015076225160368528,0.9944584611367412,0.0,0.0,1.0,1.0,-0.15553530322274456,-0.05908824104871879,-3.019999999999996,1.0,0.0,-0.05908824104871879,-3.019999999999996,252.0
2021,Buy & Hold,-0.011228945726764139,-0.011318267002529359,0.3177336501235162,0.12174346998347217,0.17468706161638226,-0.034168353215182884,-0.3312500000000008,179.0,46.4,-0.029185320145757414,-0.044911144565750086,-0.1030573686018551,-0.011228945726764139,0.428,0.015403065754850604,-0.013303744121069588,1.0238390586619368,0.0,0.0,1.0,1.0,-0.033898704080797315,-0.011228945726764139,-0.5400000000000063,1.0,0.0,-0.011228945726764139,-0.5400000000000063,250.0
2022,Buy & Hold,-0.43427970557308093,-0.43814913085176677,0.32727813339856754,-1.5967718669152522,-2.261132309577439,-0.8873369025970858,-0.4937799043062201,246.0,123.5,-0.031807237365000726,-0.050784420610665904,-0.22701149425287315,-0.43427970557308093,0.42971887550200805,0.013514148549722748,-0.01569904895223807,0.7368670034571434,0.0,0.0,1.0,1.0,-0.8795005665191271,-0.43427970557308093,-20.65,1.0,0.0,-0.43427970557308093,-20.65,249.0
2023,Buy & Hold,-0.17100371747211907,-0.17287473105439988,0.33349586120586155,-0.40331743563252825,-0.5696839544207477,-0.3712877746509272,-0.46560846560846536,131.0,47.8,-0.027805727554179517,-0.04931941247756656,-0.24573268921095026,-0.17100371747211907,0.40160642570281124,0.015961674944830893,-0.013832567549146198,0.9231359189460737,0.0,0.0,1.0,1.0,-0.36726934775261955,-0.17100371747211907,-4.599999999999998,1.0,0.0,-0.17100371747211907,-4.599999999999998,249.0
2024,Buy & Hold,-0.09103139013452932,-0.09172517524945456,0.21836448372899248,-0.3325607753713228,-0.48161717378013,-0.5233730587762988,-0.17525773195876315,219.0,81.33333333333333,-0.020153623293158174,-0.030415041779428022,-0.06717044500419855,-0.09103139013452932,0.432,0.009525979531179748,-0.010099531251864208,0.934556761910315,0.0,0.0,1.0,1.0,-0.5194144025323135,-0.09103139013452932,-2.030000000000001,1.0,0.0,-0.09103139013452932,-2.030000000000001,250.0
2025,Buy & Hold,7.367044893931901,7.583954871117232,0.4876287991606332,4.668316009382914,7.106834118221158,43.424257729784124,-0.17464788732394376,28.0,6.230769230769231,-0.038465478276272044,-0.05858038291407113,-0.02845528455284585,7.367044893931901,0.5582329317269076,0.028262061417965875,-0.020477088668158592,2.339572850060629,0.0,0.0,1.0,1.0,42.18227318299715,7.367044893931901,149.32999999999998,1.0,1.0,7.367044893931901,149.32999999999998,249.0
2026,Buy & Hold,0.30129716981132115,0.7005248951334617,0.556166185711478,1.2315108928927865,1.8275341748708096,2.184563697367416,-0.32067039106145245,65.0,16.142857142857142,-0.06942224252112357,-0.06972186304013994,-0.2151162790697676,0.30129716981132115,0.504,0.028186146683721408,-0.028156526241477697,1.2365936372593844,0.0,0.0,1.0,1.0,0.9395852508053396,0.30129716981132115,51.099999999999994,1.0,1.0,0.30129716981132115,51.099999999999994,125.0
2017,MACD only,0.5136315182244864,0.5186591940442888,0.20525835765746328,2.137838873363648,3.0534554900338327,4.495225898031901,-0.11538000665803427,132.0,20.181818181818183,-0.014508473784325801,-0.024159506207213275,-0.043344744301014315,0.5136315182244864,0.268,0.015212933198150655,-0.008462896255857466,1.7454991962678035,25.0,25.2,0.544,0.544,4.451650967110779,0.9441755849714822,9.236160000000003,13.0,0.5384615384615384,0.03573641884208764,0.7104738461538462,11.384615384615385
2018,MACD only,0.19870284493168122,0.2004421288590703,0.21572306451431783,0.9544908493545211,0.9186732934050293,0.7231799162086069,-0.2771677204614892,185.0,32.857142857142854,-0.019670314722824482,-0.0329598911127103,-0.08389651937413667,0.19870284493168122,0.252,0.01403378886057754,-0.010965438375711801,1.3004623987854924,27.0,27.215999999999998,0.484,0.484,0.7169047124276862,0.4105430680406637,4.991984999999999,14.0,0.35714285714285715,0.01576818849558531,0.356570357142857,9.642857142857142
2019,MACD only,-0.06784832569179267,-0.06837212032213968,0.11836988137769076,-0.5390418004655604,-0.4547653834418092,-0.5314020820358137,-0.12866362897978212,218.0,75.33333333333333,-0.009000822003650377,-0.019540943777019933,-0.0453434383699568,-0.06784832569179267,0.16,0.00868699722630582,-0.006520314344661373,0.845903050517165,25.0,25.2,0.452,0.452,-0.5273310431998943,-0.15010691524732891,-3.5625949999999875,13.0,0.23076923076923078,-0.00525780548002689,-0.27404576923076834,9.615384615384615
2020,MACD only,0.04935281704180472,0.04935281704180472,0.19495080675620832,0.34384491224591407,0.3278050725292993,0.4270577851317459,-0.11556472861530798,140.0,60.75,-0.015959872916018514,-0.02895884576054814,-0.05668080671035336,0.04935281704180472,0.19047619047619047,0.014361897766452086,-0.010202266389317071,1.1077112696647926,26.0,26.0,0.47619047619047616,0.47619047619047616,0.4270577851317459,0.10364091578778992,1.3379350000000048,13.0,0.3076923076923077,0.0054450327681368265,0.10488384615384647,10.153846153846153
2021,MACD only,0.26098390658638526,0.26332537740222617,0.23300429358205635,1.1185911285416885,1.2171323068707567,1.2437189953956285,-0.21172417433285406,179.0,46.4,-0.018790961945031697,-0.032699338632555086,-0.06209120156608161,0.26098390658638526,0.26,0.015077273269311256,-0.01127273079260079,1.3583980621798684,15.0,15.12,0.528,0.528,1.2326599331831112,0.4942877018681539,11.466275000000005,8.0,0.625,0.03262871973138469,1.4332843750000004,17.5
