year,strategy,sessions,start_date,end_date,total_return,total_points,annual_volatility,sharpe,sortino,max_drawdown,avg_drawdown,ulcer_index,var_95_daily,cvar_95_daily,worst_day,best_day,win_rate,exposure,trades,exits
2022,Ito Bayes-GARCH,249,2022-01-04,2022-12-30,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,"MACD(6,26,12)",249,2022-01-04,2022-12-30,-0.12910960914189007,-5.356399999999997,0.25029935656730395,-0.43498816484186265,-0.48175031697034065,-0.2915420867373658,-0.12729759019181802,0.14933623154092926,-0.02189402107256738,-0.03722675908416782,-0.0693215339233037,0.0695364238410596,0.21285140562248997,0.4939759036144578,10.0,10.0
2022,Buy & Hold,249,2022-01-04,2022-12-30,-0.43427970557307793,-20.65,0.32727813339856704,-1.596771866915252,-2.2611323095774343,-0.49377990430621743,-0.3136444861191832,0.33153833310555464,-0.03180723736500068,-0.05078442061066587,-0.0693215339233037,0.0695364238410596,0.42971887550200805,1.0,1.0,0.0
2023,Ito Bayes-GARCH,249,2023-01-03,2023-12-29,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,"MACD(6,26,12)",249,2023-01-03,2023-12-29,-0.0013647503507369096,0.8676949999999972,0.2633018887779947,0.12517476877999792,0.14387346365144196,-0.23569379197738327,-0.12746724089025066,0.13392039638346442,-0.02262128325508596,-0.03813436737880082,-0.0695410292072322,0.0693069306930691,0.23694779116465864,0.606425702811245,9.0,8.0
2023,Buy & Hold,249,2023-01-03,2023-12-29,-0.17100371747211518,-4.599999999999997,0.33349586120586105,-0.4033174356325265,-0.5696839544207443,-0.4656084656084649,-0.20386490665387172,0.24744228757638498,-0.02780572755417946,-0.049319412477566514,-0.0699999999999999,0.0699029126213592,0.40160642570281124,1.0,1.0,0.0
2026,Ito Bayes-GARCH,125,2026-01-05,2026-07-08,-0.0792088314019106,-11.672850000000043,0.504354447774265,-0.07851776464679451,-0.09831345096382058,-0.33117385758486595,-0.1605424473632638,0.17689183326924526,-0.06942224252112354,-0.0697218630401399,-0.0699760765550239,0.0697350069735007,0.384,0.792,11.0,11.0
2026,"MACD(6,26,12)",125,2026-01-05,2026-07-08,0.5667864549041077,83.99074999999999,0.3929912603861131,2.500890031594029,2.5874137720617068,-0.1609353615206991,-0.06737226213205426,0.07930572433606607,-0.029645238197210398,-0.05547444106854399,-0.0699760765550239,0.0697350069735007,0.264,0.456,4.0,4.0
2026,Buy & Hold,125,2026-01-05,2026-07-08,0.30129716981132426,51.099999999999994,0.5561661857114776,1.2315108928927883,1.82753417487081,-0.320670391061452,-0.12364203490994001,0.14174414413777167,-0.06942224252112354,-0.0697218630401399,-0.0699760765550239,0.0699013157894736,0.504,1.0,1.0,0.0
2020,Ito Bayes-GARCH,252,2020-01-02,2020-12-31,0.010698096325158613,0.5264450000000009,0.02245686188097343,0.4849686762805888,0.16389729963760372,-0.01332425693617123,-0.004044013157861926,0.0031521275686545924,0.0,-5.7641218848188756e-05,-0.0109011887072809,0.0188041411366997,0.011904761904761904,0.01984126984126984,4.0,4.0
2020,"MACD(6,26,12)",252,2020-01-02,2020-12-31,0.04935281704180605,1.3379350000000048,0.19495080675620802,0.34384491224591784,0.3278050725293026,-0.11556472861530687,-0.050439768293504016,0.06117809653137454,-0.015959872916018473,-0.028958845760548094,-0.0696378830083565,0.0692383778437191,0.19047619047619047,0.47619047619047616,13.0,13.0
2020,Buy & Hold,252,2020-01-02,2020-12-31,-0.059088241048713463,-3.019999999999996,0.3239945644396483,-0.02655965923853277,-0.03281950604511298,-0.37990243902438925,-0.1518532682926804,0.16937748193389754,-0.031246936274509664,-0.05173457426619653,-0.0697615423642821,0.0698552548772812,0.42063492063492064,1.0,1.0,0.0
2018,Ito Bayes-GARCH,250,2018-01-02,2018-12-28,0.37704468159652627,10.358320000000004,0.2835124540808054,1.279745546980811,1.256362005071704,-0.21022303792774022,-0.13889398761248853,0.14742964705895373,-0.02182937282812436,-0.04524340817060346,-0.0704424524125719,0.0692896935933149,0.332,0.616,5.0,6.0
2018,"MACD(6,26,12)",250,2018-01-02,2018-12-28,0.19870284493168255,4.991984999999999,0.21572306451431744,0.9544908493545144,0.9186732934050218,-0.27716772046148896,-0.14593432694687014,0.1635408217938779,-0.019670314722824444,-0.03295989111271026,-0.0700944386149002,0.0544537815126051,0.252,0.484,13.0,14.0
2018,Buy & Hold,250,2018-01-02,2018-12-28,0.492074674181058,13.969999999999999,0.34014157481783963,1.3567202262404985,1.6258893500751854,-0.23652875882946478,-0.08254902770678908,0.08842388343648827,-0.03181164831028113,-0.053081771984802135,-0.0700944386149002,0.06993006993007,0.504,1.0,1.0,0.0
